loco,DateTime,gps_latitude,gps_longitude,speed
PN8345,10/23/2018 14:02,-20.060801,148.1484648,18.55409533,5.678099538
PN8345,10/23/2018 14:02,-20.06084767,148.1484435,18.49670979,5.647279387
PN8345,10/23/2018 14:02,-20.0608945,148.148422,18.56084657,5.671183336
PN8345,10/23/2018 14:02,-20.0609415,148.1484003,18.57603686,5.695100463
PN8345,10/23/2018 14:02,-20.06098833,148.1483787,18.60135401,5.678098463
PN8345,10/23/2018 14:02,-20.06103533,148.1483568,18.63848583,5.702039719
PN8345,10/23/2018 14:02,-20.0610825,148.1483352,18.63679802,5.712110917
PN8345,10/23/2018 14:02,-20.06112967,148.1483135,18.68743232,5.712110646
PN8345,10/23/2018 14:02,-20.061177,148.1482918,18.70937385,5.729131074
PN8345,10/23/2018 14:02,-20.06122433,148.14827,18.73975443,5.736029409
PN8345,10/23/2018 14:02,-20.06127167,148.1482482,18.77351063,5.736029134
PN8345,10/23/2018 14:02,-20.06131917,148.1482263,18.76507158,5.753038493
PN8345,10/23/2018 14:02,-20.0613665,148.1482045,18.74819348,5.736028584
PN8345,10/23/2018 14:02,-20.061414,148.1481828,18.79713997,5.746159779
PN8345,10/23/2018 14:02,-20.0614615,148.148161,18.75832034,5.753037674
PN8345,10/23/2018 14:02,-20.06150883,148.1481393,18.77013501,5.729129181
PN8345,10/23/2018 14:02,-20.06155633,148.1481173,18.77182282,5.759959683
PN8345,10/23/2018 14:02,-20.06160383,148.1480955,18.83089617,5.753036852
PN8345,10/23/2018 14:02,-20.0616515,148.1480735,18.87140361,5.776957749
PN8345,10/23/2018 14:02,-20.06169917,148.1480515,18.87646704,5.776957475
PN8345,10/23/2018 14:02,-20.061747,148.1480295,18.86634018,5.793965228
PN8345,10/23/2018 14:02,-20.06179483,148.1480073,18.90684762,5.800890876
PN8345,10/23/2018 14:02,-20.0618425,148.1479853,18.94397944,5.776956639
PN8345,10/23/2018 14:02,-20.06189033,148.1479632,18.92878915,5.800890319
PN8345,10/23/2018 14:02,-20.06193833,148.147941,18.99630155,5.817887139
PN8345,10/23/2018 14:02,-20.06198633,148.1479185,19.11276044,5.831829528
PN8345,10/23/2018 14:02,-20.06203433,148.1478963,18.98448688,5.817886575
PN8345,10/23/2018 14:02,-20.06208233,148.1478742,18.98448688,5.81788629
PN8345,10/23/2018 14:02,-20.0621305,148.147852,19.0553749,5.834892463
PN8345,10/23/2018 14:02,-20.06217867,148.14783,19.04018461,5.828006691
PN8345,10/23/2018 14:02,-20.06222683,148.1478078,19.0891311,5.834891899
PN8345,10/23/2018 14:02,-20.06227517,148.1477858,19.11276044,5.845041902
PN8345,10/23/2018 14:02,-20.0623235,148.1477638,19.11782387,5.845041622
